iter	Passed	Remaining
854	1573	266
855	1575	264
856	1576	263
857	1578	261
858	1579	259
859	1581	257
860	1583	255
861	1585	253
862	1586	251
863	1587	249
864	1589	248
865	1590	246
866	1592	244
867	1594	242
868	1595	240
869	1597	238
870	1599	236
871	1600	234
872	1602	233
873	1603	231
874	1605	229
875	1607	227
876	1609	225
877	1611	223
878	1612	221
879	1614	220
880	1615	218
881	1617	216
882	1619	214
883	1621	212
884	1624	211
885	1625	209
886	1627	207
887	1628	205
888	1630	203
889	1631	201
890	1632	199
891	1634	197
892	1636	196
893	1638	194
894	1640	192
895	1642	190
896	1644	188
897	1645	186
898	1646	185
899	1648	183
900	1649	181
901	1651	179
902	1653	177
903	1655	175
904	1656	173
905	1658	172
906	1659	170
907	1660	168
908	1661	166
909	1663	164
910	1664	162
911	1668	160
912	1670	159
913	1671	157
914	1673	155
915	1674	153
916	1676	151
917	1677	149
918	1681	148
919	1683	146
920	1685	144
921	1686	142
922	1688	140
923	1690	139
924	1691	137
925	1693	135
926	1695	133
927	1696	131
928	1698	129
929	1699	127
930	1701	126
931	1703	124
932	1705	122
933	1706	120
934	1709	118
935	1711	117
936	1713	115
937	1715	113
938	1716	111
939	1718	109
940	1720	107
941	1721	106
942	1723	104
943	1725	102
944	1726	100
945	1728	98
946	1729	96
947	1731	94
948	1732	93
949	1733	91
950	1735	89
951	1737	87
952	1738	85
953	1739	83
954	1741	82
955	1742	80
956	1743	78
957	1745	76
958	1746	74
959	1748	72
960	1750	71
961	1751	69
962	1753	67
963	1754	65
964	1756	63
965	1757	61
966	1759	60
967	1761	58
968	1762	56
969	1764	54
970	1765	52
971	1767	50
972	1768	49
973	1769	47
974	1771	45
975	1772	43
976	1774	41
977	1775	39
978	1777	38
979	1779	36
980	1780	34
981	1782	32
982	1783	30
983	1784	29
984	1786	27
985	1787	25
986	1789	23
987	1790	21
988	1792	19
989	1794	18
990	1795	16
991	1797	14
992	1798	12
993	1800	10
994	1801	9
995	1802	7
996	1804	5
997	1806	3
998	1807	1
999	1809	0
